Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
48 U.S.C. § 1469a(d),Territories and Insular Possessions,FEMA DOLR,3,Legislation,USC Title 48 ,https://www.govinfo.gov/content/pkg/USCODE-2009-title48/pdf/USCODE-2009-title48-chap10-sec1469a.pdf,USCODE-2009-title48-chap10-sec1469a.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/fzVltl_AhsRUcYA3SU-_ow/3U82dML9HFb6_BiSpBabT1mYZSEFbY2TcFlXCiXvwWGpTS-MajAHfpLJKBKseImnKliiAIZwgQT8QKcdidVuOHSQB6tHvTRSAIptQvGp4NvTdHWWe0N2T9fQf9D9PS_plGmoZh0x3DAN50OPxhc6CkwZpIxhV4oLe474W5o5VtbNWSZimYyne8NTHjlX3CZa/TUGQ_HEkPLrdlbSxIGJyf4THzVPt3qhOW_rU_fpRKnk),10/5/84,3/12/80,Department of the Interior,No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"This document includes laws regarding US territories and their governmental structure, outlining their rights. ",,Executive Power(s) over states
20 U.S.C. § 1087e,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Education,"Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,Domestic,No,,,,,,,,No,The Department of Education can pause student loan payments for borrowers on active duty or National Guard duty during wars or national emergencies.,,
20 U.S.C.§ 1098bb,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Education,"Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,Domestic,No,,,,,,,,No,The Secretary of Education can change or waive rules for student financial aid programs if needed during wars or national emergencies to help affected individuals.,,
20 U.S.C.§ 1098bb,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Education,"Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",N/A,Domestic,No,,,,,,,,No,"An “affected individual” is someone on active duty or in the National Guard during a war or national emergency, among other criteria.",,
Presidential Directive - 2020-17897,,Presidential Directive,,Presidential Directive,Presidential Directive - 17897,https://www.govinfo.gov/content/pkg/FR-2020-08-13/pdf/2020-17897.pdf,2020-17897.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ahEE2Y0y5lKr8oYliStSaA/eqJz26C_VSHzfbWjvPB2P9PFoY-AFUbn7ZfdCIUf_syd6HUL89hrGXmCRVwwDWqOtoEdP9kTPqMUQWaUw80l9kYu2kQy_4ybtFztg_a3M_aO4EMRkYPfYayIOfabMdGoTn5Fq06RW9kLDRJPZpMYApwSl-_ROnsuInE69MwP6D0/pTtEInV6EOWWdeBxdx5UiaeyG5sBW7DUFFXW_Kaf6PU),,8/13/20,Department of Education,Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,No,,,,,,,,No,This directive outlines relief for federal student loan borrowers during the COVID-19 pandemic. It extends the suspension of loan payments and halts interest accrual.,,",,,,,,,,,,,,,,,,,,,,,,,,,
23 U.S.C. § 127 and 23 C.F.R. § 658.17.,Vehicle Weight Limitations - Interstate System,FEMA DOLR,4,Legislation,"23 USC 127,23 C.F.R. § 658.17.","https://www.govinfo.gov/content/pkg/USCODE-2011-title23/pdf/USCODE-2011-title23-chap1-sec127.pdf, https://www.govinfo.gov/content/pkg/CFR-2011-title23-vol1/pdf/CFR-2011-title23-vol1-sec658-17.pdf","USCODE-2011-title23-chap1-sec127.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/HM19fCJ0H4ANdYY6-_EeAw/nkgtmsJGr0BIgVuNBc2qgNSdQtW-poT8HZXSuH2LAwwYyaFOsgCp769CeqccOfNRHMuEjNQ22rOPZSyZ7Syl12tblvZVv8zt5hhzg-VB-azGEe0w2FFe-cJ01qTHKguej-RcHTDr6ncGL9unniEDSGXYYcZXP50PozxkYs_kCb_j48kqP1yKwgZEH2-0hneg/aF18GQnWjrSus59IG2888G2QSshzIcSHHmOkOTyvHvU),CFR-2011-title23-vol1-sec658-17.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/rNdW2zpghn9Rtu3zPBNZUw/OZ6J2XYLoWMxPd8X_ealDr0Ko6EJI0lHiPKbt4FvkSuISCJdDlD1XY7ia2Q775nxvM7PnsTAJemMXrpkXVWbtdlPqEol5H2E0J_mqYQ4aH8iRURyAJbDPjFaj2OkTUhEMW_kOvDDog8Ao7nT1D48504oHyldMw1Rdebh75gPSrM-0p0SEuRADpf1savkYzFP/h9DIUkyOlH3bbgxp8q7B_ddNSZv44Z-K068yHYq1Vuw)",,,Department of Transportation,No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"Establishes the federal regulations for vehicle weight limits on the Interstate Highway System. States are required to enforce these limits, but exceptions are allowed for certain vehicles like emergency vehicles, and states may grant special permits for overweight vehicles under specific circumstances.",,"General Rules and Regulations,Waiver,Movement of Patients,Movement of Medical Personnel"
46 U.S.C. § 56102,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Transportation,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,"During a war or national emergency declared by the President, transferring control of a U.S.-owned vessel or facility to a noncitizen requires permission from the Secretary of Transportation.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver",,,,,,,,,,,,,,,,,,,,,,,,,
46 U.S.C. § 56301,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Transportation,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The Secretary of Transportation can take over any U.S.-owned vessel or watercraft if the President declares it necessary for national defense or during a national emergency.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver","Government Contracts""",,,,,,,,,,,,,,,,,,,,,,,,
46 U.S.C. § 57521,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Transportation,,N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The Secretary of Transportation can end any charter of Department of Transportation vessels if the President declares it necessary for national defense or during a national emergency.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",*not sure about triggering event*",,,,,,,,,,,,,,,,,,,,,,,,,
",Waiver","Government Contracts""",,,,,,,,,,,,,,,,,,,,,,,,
49 C.F.R. § 1,,eCFR,,Regulation,49 C.F.R. 1,https://www.ecfr.gov/current/title-49/subtitle-A/part-1,49 CFR Part 1 (up to date as of 8-30-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/NASktTeLFVtJIq9JwUUogw/w8riCK3VvvQFYCfbMKI--SDsP5PgMKmnbkgkPgvwLkstpfzZObcTdkx4Fx4cw61Wkqf_4sMV83KejkVKYmPVu_4axF647PW92jHxzl3XBssNlUtFyeLn6kigXagrex7fmCInfhmMObhmNnrQlu8wggl1eaWKr_9FKcuLDggzySmL_EGi8Ylc69pMqwBSPoiK/2GeCrk4STs2M2YWxO5oRkQIoLMc-55VQL9he6S_lRmw),5/3/21,4/5/16,Department of Transportation,No triggering event - Capacity Building,,Domestic,No,Include,,* 49 C.F.R. § 1.3 - Exercise of authority ,,,,,,,,
* 49 C.F.R. § 1.4 - Construction,,,,,,,,,,,,,,,,,,,,,,,,,
* § 1.45 - Delegations to the Director of the Office of Intelligence, Security, and Emergency Response ,,,,,,,,,,,,,,,,,,,,,,,
* § 1.74 - Delegations to Inspector General ,,,,,,,,,,,,,,,,,,,,,,,,,
* § 1.89 - Delegations to the Federal Railroad Administrator,,,,,,,,,,,,,,,,,,,,,,,,,
* § 1.93 - Delegations to the Maritime Administrator ,,,,,,,,,,,,,,,,,,,,,,,,,
",,No,Yes,,Not applicable,Provides rules for the exercise of authority by the Department of Transportation ,,Waiver",,,,,,,,,,,,,,,,,,,,,,,,,
46 U.S.C. § 70051,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Transportation,Executive Office of the President of the United States","Natural Disaster,Act of War,Terrorism,NEA Emergency Declaration","N/A - This is in response to a situation: where ""the President finds that the security of the United States is endangered by reason of actual or threatened war, or invasion, or insurrection, or subversive activity, or of disturbances or threatened disturbances of the international relations of the United States....""",Both,Yes - Subject to Posse Comitatus,Include,,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,"The Secretary of Transportation can control the anchorage and movement of all vessels in U.S. waters, and take possession of them if needed, during a national emergency declared by the President. The President can also protect vessels, harbors, ports, and waterfronts from threats during such emergencies.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,""Troop", Uniformed Service," or National Guard Deployment""""""",,,,,,,,,,,,,,,,,,,,,,,
49 U.S.C. § 5334,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,"Department of Transportation,Department of Transportation - Federal Transit Administration",NEA Emergency Declaration,There must be a declared emergency under the NEA. ,Domestic,No,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,Yes,,Not applicable,"The Secretary of Transportation can regulate public transportation systems' operations, routes, or schedules if they receive certain grants, except for national defense or during a national or regional emergency.",,"Movement of Medical Personnel,Executive Power(s) over states,Response Leadership,Waiver"
49 C.F.R. §§ 602.3–602.17,"Federal Transit Administration, Department of Transportation, Emergency Relief",eCFR,,Regulation,49 C.F.R. §§ 602.3–602.17,https://www.govinfo.gov/content/pkg/CFR-2023-title49-vol7/pdf/CFR-2023-title49-vol7-part602.pdf,CFR-2023-title49-vol7-part602.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/2a-TxV-zuiNJLf7A8daYrw/eP-G4BvM4E7Gp1cYSLsWidCjfQMRZrrYO4AY_M3Kpn1J8RLxXU-qxTUJfRYWrocg-qraYEQrkUHYExWRDsMFHoRUpO3xJFh8xz935ixobdjTVjYSAAjDPApT017InGf_8-N-iPSIo1e2sQlb-wO86jIFV5QhNojI_iXcJcXJR0V2I0kZCA4iOoVZuo8HvTIg/y2oihHVpqWl4OZHYKtdmu3HGt1ejInkXSJecPQXMmYk),,10/7/14,"Department of Transportation,Department of Transportation - Federal Transit Administration","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Domestic,Yes - Subject to Posse Comitatus,Include,§ 602 includes an emergency fund that authorities can apply for. ,* § 602.3 - Applicability,,,,,,,,
* § 602.5 - Definitions,,,,,,,,,,,,,,,,,,,,,,,,,
* § 602.7 - Policy ,,,,,,,,,,,,,,,,,,,,,,,,,
* § 602.11 - Pre-award authority,,,,,,,,,,,,,,,,,,,,,,,,,
* § 602.13 - Eligible activities,,,,,,,,,,,,,,,,,,,,,,,,,
* § 602.15 - Grant requirements,,,,,,,,,,,,,,,,,,,,,,,,,
"* § 602.17 - Application procedures""","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,Yes,,Yes,Sets out waiver authority for DoT under Stafford Act,,Waiver,,,,,,,,,,,,,,,,,
49 U.S.C. § 20104(a)(1),,,,Legislation,49 U.S.C. 20104,https://www.govinfo.gov/content/pkg/USCODE-2022-title49/pdf/USCODE-2022-title49-subtitleV-partA-chap201-subchapI-sec20104.pdf,USCODE-2022-title49-subtitleV-partA-chap201-subchapI-sec20104.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/aO509bvTy2ZlqNsAEIdO9g/ZXlG-NU2uplY-1Ztj8-5O4epbnN82qUwct4yDf2LO22m0EjLmJqn4eRFO_QErjIOpsDdXlY2CrQuzt3Y5DyDWRzl5qXEiNId0SrmW5wVTvjQCLDmCzy0zh1SmT-0x_7h-TROGvxdMIoFnxUfgcBXf5tFtgVz7xUrzU81jFMNhl2PQhnelBugPvIpjiSwlEkkxcIfohVP0QXO_Y1hg72RMcHeamt0p73aJ5r6pvsgVvE/1ZDGU-WaFk0NClzUJG908IAMrz_wHGB58hIe7n6TtjA),10/16/08,7/5/94,"Department of Transportation,Department of Transportation - Federal Railroad Administration","Natural Disaster,Health Emergency,Potential Public Health Emergency,Act of War,Terrorism","Emergency powers must be necessary to abate an ""emergency situation involving a hazard, death, personal injury, or significant harm to the environment.""",Domestic,No,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,Yes,,Not applicable,Provides the Federal Railroad Administration with the authority to order restrictions or prohibitions on railroad carriers in emergency situations.,,Waiver
Executive Order 13895,,Executive Order,,Executive Order,Executive Order 13895,https://irp.fas.org/offdocs/eo/eo-13895.pdf,eo-13895.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ffqn-Aohuc4qLeaya2-1dQ/8ym6g3zMI2N8yoO8KJKTaSAs2XpsVmHUyJOWMBykqxCaRbSs7vc-RnRE0RVVKOT-mMNGU6V5shRqM_3DSHlZlI3xaB2WIZFddIKWpRxB4XmRG8zoiH-II3BUSiAJLc31u28vtbeIIsq2FJRwfWsHe_22JtIZuC4ArpJYQEbT9GU/5EDvHm1O7XXjzGiGGhJcrIb55UcOkr2rM4h5pUgVIJ8),,10/22/19,Department of Energy,No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"This EO establishes the President's Council of Advisors on Science and Technology. This council guides the federal government on science and technology related policy and emphasizes their interconnection with jobs, economic growth, and national security. ",,"Strategies and General Preparedness Efforts,Research and Development"
31 U.S.C. § 1301(a);,US Code Title 31,FEMA DOLR,2,Legislation,US Code Title 31,https://www.govinfo.gov/content/pkg/USCODE-2011-title31/pdf/USCODE-2011-title31.pdf,USCODE-2011-title31.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/BnVfg1tzZzyxV2-hWlKBPg/-qYC14Ef9-h5cOZUAhq45cnxX_Espw03V-rv9Ik7hQjJ326jwRGkPVZPbaWIdCnnB8tdL6vhSDE001R7qKZDJAaB6K7Xnv6_cH6QLXzOPXipD7cllaiZJek5eX1gog3FR67c47j6jx8NcLbdTjk0UOifkrL3i7D-QmAqGY7LMe8/JeZiHSLcdm8xhAbknyGIeM4_Tpu5mgo9r2IV5Cyfnm8),,9/13/82,Department of the Treasury,No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"US Code Title 31, enacted in 1874, outlines the role of the money and finance in the United States Code. The main actors include Congress, federal agencies, and the Treasury Department, who collectively oversee budgetary processes, financial management, and the regulation of government expenditures. The code is intended to ensure transparency, accountability, and sound financial management within the federal government.","US code is updated every 6 years, unclear when this specific law was last modified; DOLR references 31 U.S.C. § 1301(a);",
,,,,,,,,,,,,,,,,,,,,,,,,,
"1341; 1342;1517""",General Rules and Regulations,,,,,,,,,,,,,,,,,,,,,,,,
31 U.S.C. § 3302(b),Custodians of Money,FEMA DOLR,2,Legislation,Custodians of money,https://www.law.cornell.edu/uscode/text/31/3302,USCODE-2022-title31-subtitleIII-chap33-subchapI-sec3302.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/CjEZ33wpC2LM-coeQ0w1FQ/5i_eY2NZQvu3RHNq2jJEZtY-ryyPRRWup3tfPmMwwn8jcNu1JhwFgaAtTd3MGKsH44Y8-p1UN24N_klYozg0c7KhX8N2CsS1LEXlHzkKpAtzWFD9Izf7nD0d4TXdKO7z06YoF2Mq-3twAG5TZktYyQ/kKI5F1BvxOQU6_oqvgHMKf8-0ALfcXVGS0tkFcOQ6OQ),1/5/23,9/13/82,Department of the Treasury,No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"31 U.S.C. § 3302(b) requires government officials or agents receiving money for the government to deposit it into the Treasury as soon as possible, without deductions. This provision ensures prompt and full deposit of public funds into the Treasury.",Footnotes,
",",,,,,,,,,,,,,,,,,,,,,,,,,
19 U.S.C. § 1318,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of the Treasury,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations,Terrorism",N/A,Both,Yes - Subject to Posse Comitatus,,,,,,,,No,"When the President declares an emergency, the Secretary of the Treasury can get extra time to handle tasks from the Tariff Act of 1930 and allow duty-free imports of emergency supplies. The Secretary can also adjust Customs Service operations as needed. This role was later transferred to the Secretary of Commerce and may involve the Secretary of Homeland Security.",,"Government Contracts,Appropriations - Emergency Response"
Presidential Directive - 2020-17899,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-17899,https://www.govinfo.gov/content/pkg/FR-2020-08-13/pdf/2020-17899.pdf,2020-17899.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/1CoggbY5WdQBEpJGbtDWxg/AzHfrFHmnJCaDbImiuUnvcOcwFG6nO1epiBUAFAcGcWLaMCwBgFjWtw_P2bR1xrjnZSXOswGtYNJuZhT1xbratU9FLFmS5gUf-tv-WY_ukyX-SI2102Bat3KHyDLvCx2nXgvonjpJ-IZxeqCJdx0K7xi5k9UhAorUE_y2bBk9zY/fwFpSO2Rgm6vtuLZZkew1o-I7noYjGvgPUBXbApaK38),,8/13/20,"Department of the Treasury,Department of Treasury - Internal Revenue Service",Health Emergency,COVID-19,,,,,,,,,,,,,
